licensePlate,brand,model,manufactureDate,price,availability,category
LTU-4821,Toyota,Corolla,2019-01-01,42,Available,Sedan
KNR-7310,BMW,X5,2021-01-01,110,Rented,SUV
LVA-9934,Tesla,Model 3,2022-01-01,95,Available,Sedan
KAS-5520,Ford,Focus,2018-01-01,38,Under Maintenance,Hatchback
LTK-2187,Audi,A4,2020-01-01,72,Available,Sedan
BLT-6702,Volkswagen,Tiguan,2021-01-01,65,Rented,SUV
GNR-8851,Hyundai,i30,2019-01-01,35,Available,Hatchback
TSK-4409,Mercedes-Benz,GLC,2023-01-01,120,Rented,SUV
VDK-1298,Kia,Sportage,2020-01-01,55,Available,SUV
LNM-5733,Honda,Civic,2017-01-01,33,Under Maintenance,Sedan
VLS-2044,Skoda,Octavia,2020-01-01,48,Available,Sedan
KLP-7186,Nissan,Qashqai,2022-01-01,58,Available,SUV
