licensePlate,brand,model,manufactureDate,price,category_code
LTU-4821,Toyota,Corolla,2019-01-01,42,Sedan
KNR-7310,BMW,X5,2021-01-01,110,SUV
LVA-9934,Tesla,Model 3,2022-01-01,95,Sedan
KAS-5520,Ford,Focus,2018-01-01,38,Hatchback
LTK-2187,Audi,A4,2020-01-01,72,Sedan
BLT-6702,Volkswagen,Tiguan,2021-01-01,65,SUV
GNR-8851,Hyundai,i30,2019-01-01,35,Hatchback
TSK-4409,Mercedes-Benz,GLC,2023-01-01,120,SUV
VDK-1298,Kia,Sportage,2020-01-01,55,SUV
LNM-5733,Honda,Civic,2017-01-01,33,Sedan
VLS-2044,Skoda,Octavia,2020-01-01,48,Sedan
KLP-7186,Nissan,Qashqai,2022-01-01,58,SUV
